Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1664795321986,03/10/2022 11:08:41,1664795321872,1,03/10/2022 12:08:41,88988,10,questionnaire-dbtg,,24348955,BLIND,7189511,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 105.0.0.0,1440x900,1440x680,,Information sheet and consent ONLINE,5,157,No,5669
1,1665058544126,06/10/2022 12:15:44,1665058544358,1,06/10/2022 13:15:44,88988,10,questionnaire-dbtg,,24397439,BLIND,7207515,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x609,,Information sheet and consent ONLINE,5,173,No,74384
1,1665062472722,06/10/2022 13:21:12,1665062473976,1,06/10/2022 14:21:13,88988,10,questionnaire-dbtg,,24398639,BLIND,7207936,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1067x499,,Information sheet and consent ONLINE,5,163,No,175413
1,1665077761620,06/10/2022 17:36:01,1665077761510,1,06/10/2022 18:36:01,88988,10,questionnaire-dbtg,,24405149,BLIND,7209761,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1440x900,1440x820,,Information sheet and consent ONLINE,5,178,No,8160
1,1665133810207,07/10/2022 09:10:10,1665133809954,1,07/10/2022 10:10:09,88988,10,questionnaire-dbtg,,24414805,BLIND,7212107,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x577,,Information sheet and consent ONLINE,5,168,No,17393
1,1665146425169,07/10/2022 12:40:25,1665146426115,1,07/10/2022 13:40:26,88988,10,questionnaire-dbtg,,24419012,BLIND,7213613,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x753,,Information sheet and consent ONLINE,5,188,No,4031
1,1665396988837,10/10/2022 10:16:28,1665396988749,1,10/10/2022 11:16:28,88988,10,questionnaire-dbtg,,24458428,BLIND,7224750,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1920x1080,1440x739,,Information sheet and consent ONLINE,5,163,No,7518
1,1665408114197,10/10/2022 13:21:54,1665408114173,1,10/10/2022 14:21:54,88988,10,questionnaire-dbtg,,24462052,BLIND,7226004,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x577,,Information sheet and consent ONLINE,5,168,No,12734
1,1666029441482,17/10/2022 17:57:21,1666029441327,1,17/10/2022 18:57:21,88988,10,questionnaire-dbtg,,24622003,BLIND,7272468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x1007,,Information sheet and consent ONLINE,5,163,No,10750
1,1666031318624,17/10/2022 18:28:38,1666031318483,1,17/10/2022 19:28:38,88988,10,questionnaire-dbtg,,24624474,BLIND,7272787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x708,,Information sheet and consent ONLINE,5,168,No,6353
1,1666111952897,18/10/2022 16:52:32,1666111951326,1,18/10/2022 17:52:31,88988,10,questionnaire-dbtg,,24664251,BLIND,7283375,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 105.0,1280x720,1280x595,,Information sheet and consent ONLINE,5,178,No,460290
1,1666192715626,19/10/2022 15:18:35,1666192716890,1,19/10/2022 16:18:36,88988,10,questionnaire-dbtg,,24688892,BLIND,7289553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x569,,Information sheet and consent ONLINE,5,163,No,6976
1,1666254196996,20/10/2022 08:23:16,1666250951502,2,20/10/2022 09:29:11,88988,10,questionnaire-dbtg,,24707920,BLIND,7293594,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.85,1280x720,1280x578,,Information sheet and consent ONLINE,5,168,No,235292
1,1666257910521,20/10/2022 09:25:10,1666257911331,1,20/10/2022 10:25:11,88988,10,questionnaire-dbtg,,24709009,BLIND,7293869,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Information sheet and consent ONLINE,5,188,No,16420
1,1666264324242,20/10/2022 11:12:04,1666264324740,1,20/10/2022 12:12:04,88988,10,questionnaire-dbtg,,24711350,BLIND,7294502,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.42,1536x864,1536x754,,Information sheet and consent ONLINE,5,157,No,48973
1,1666287438921,20/10/2022 17:37:18,1666287438841,1,20/10/2022 18:37:18,88988,10,questionnaire-dbtg,,24720137,BLIND,7297340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1440x900,1329x761,,Information sheet and consent ONLINE,5,157,No,3884701
1,1666349884194,21/10/2022 10:58:04,1666349883971,1,21/10/2022 11:58:03,88988,10,questionnaire-dbtg,,24733418,BLIND,7300880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1317x739,,Information sheet and consent ONLINE,5,157,No,24607
